doc_id,term,tf,tfidf
1,correl,4,0.6481331029339586
1,matern,6,1.2754659871069562
1,fetal,6,1.2754659871069562
1,plasma,3,0.4468915217527893
1,level,8,0.9150712842750578
1,glucos,4,0.7747060049018172
1,free,1,0.16593238826305395
1,fatti,1,0.18865540810158324
1,acid,1,0.1266378807087935
1,coeffici,2,0.5159063023810452
1,determin,1,0.12798273611640812
1,ffa,3,0.8394241114400751
1,collect,1,0.2179077673581114
1,deliveri,3,0.7026819922502267
1,signific,1,0.1200817835338702
1,obtain,1,0.12576327176849394
1,size,1,0.174792976968848
1,slope,1,0.2714919124105655
1,regress,1,0.20548296819947753
1,line,1,0.1798912722912815
1,appear,1,0.10762160922992328
1,strongli,1,0.24249188054993098
1,depend,2,0.3741713755955537
1,upon,2,0.3381461141444308
1,wherea,1,0.18865540810158324
1,slightli,1,0.21257766451782606
2,chang,1,0.06691109676455187
2,nucleic,1,0.16477565112566817
2,acid,1,0.08442525380586233
2,phospholipid,1,0.15879902768536822
2,level,1,0.07625594035625481
2,liver,3,0.27975571945902794
2,cours,1,0.11200259839516975
2,fetal,1,0.14171844301188402
2,postnat,1,0.1865386914311278
2,develop,3,0.2092284082616555
2,follow,2,0.13510156695554854
2,evolut,1,0.16819035903554425
2,dna,4,0.4537752991837441
2,rna,4,0.5212421729488314
2,pl,4,1.0048401795859745
2,rat,3,0.24981101192708574
2,foeti,1,0.2512100448964936
2,remov,1,0.11344382479593602
2,fifteenth,1,0.2512100448964936
2,twenti,1,0.1452718449054076
2,first,1,0.08954879119653963
2,day,12,0.9606542682709616
2,gestat,1,0.16819035903554425
2,young,1,0.12370860069518849
2,newli,1,0.161661253699954
2,born,1,0.1434498646267921
2,wean,2,0.4230397501149253
2,observ,1,0.0662865737731504
2,fact,1,0.1190449775531657
2,1,1,0.06582775674431253
2,concentr,3,0.27293122972798717
2,1100,1,0.2512100448964936
2,ug,4,0.6246062153335348
2,p,2,0.2905436898108152
2,15,4,0.46611460525026127
2,th,8,1.1475989170143368
2,decreas,2,0.17909758239307927
2,19,2,0.29845672961527736
2,reach,1,0.12911766748363618
2,valu,1,0.09656935446784795
2,280,1,0.2512100448964936
2,5,2,0.15811361410968422
2,2,1,0.05907427518764969
2,1400,1,0.2512100448964936
2,820,1,0.2512100448964936
2,period,1,0.0778563002326352
2,3,3,0.1974832702329376
2,low,1,0.10127649020478321
2,foetal,4,0.7239784330948412
2,life,6,0.6806629487756162
2,700,1,0.22615919617741292
2,increas,2,0.11956079490964147
